AQI,Concentration,Date,Health,Location,count
171,94.6,7/24/18,Unhealthy,Medford,24
26,6.3,7/24/18,Good,Portland,24
81,26.3,7/23/18,Moderate,Bend,24
44,10.6,7/23/18,Good,La Grande,24
198,146.6,7/23/18,Unhealthy,Medford,24
33,7.9,7/23/18,Good,Portland,24
34,8.1,7/22/18,Good,Bend,24
37,8.9,7/22/18,Good,La Grande,24
183,116.6,7/22/18,Unhealthy,Medford,24
23,5.5,7/22/18,Good,Portland,24
31,7.3,7/21/18,Good,Bend,24
34,8.1,7/21/18,Good,La Grande,24
168,87.6,7/21/18,Unhealthy,Medford,24
17,4,7/21/18,Good,Portland,24
31,7.4,7/20/18,Good,Bend,24
33,7.9,7/20/18,Good,La Grande,24
171,94.4,7/20/18,Unhealthy,Medford,24
14,3.4,7/20/18,Good,Portland,24
29,6.9,7/19/18,Good,Bend,24
83,27.3,7/19/18,Moderate,La Grande,24
,,7/19/18,,Medford,16
12,2.9,7/19/18,Good,Portland,24
35,8.3,7/18/18,Good,Bend,24
97,33.8,7/18/18,Moderate,La Grande,24
96,33.3,7/18/18,Moderate,Medford,22
11,2.7,7/18/18,Good,Portland,24
38,9,7/17/18,Good,Bend,24
50,12,7/17/18,Good,La Grande,24
58,15.6,7/17/18,Moderate,Medford,24
33,8,7/17/18,Good,Portland,24
36,8.6,7/16/18,Good,Bend,24
43,10.3,7/16/18,Good,La Grande,24
52,12.4,7/16/18,Moderate,Medford,24
30,7.1,7/16/18,Good,Portland,24
34,8.1,7/15/18,Good,Bend,24
38,9.1,7/15/18,Good,La Grande,23
41,9.9,7/15/18,Good,Medford,24
28,6.8,7/15/18,Good,Portland,24
34,8.2,7/14/18,Good,Bend,24
33,7.9,7/14/18,Good,La Grande,24
42,10.2,7/14/18,Good,Medford,24
19,4.6,7/14/18,Good,Portland,24
35,8.3,7/13/18,Good,Bend,24
39,9.3,7/13/18,Good,La Grande,24
41,9.8,7/13/18,Good,Medford,24
24,5.9,7/13/18,Good,Portland,24
30,7.1,7/12/18,Good,Bend,24
32,7.7,7/12/18,Good,La Grande,24
37,8.8,7/12/18,Good,Medford,24
18,4.4,7/12/18,Good,Portland,24
27,6.6,7/11/18,Good,Bend,24
28,6.7,7/11/18,Good,La Grande,21
33,8,7/11/18,Good,Medford,24
14,3.4,7/11/18,Good,Portland,24
28,6.7,7/10/18,Good,Bend,24
27,6.6,7/10/18,Good,La Grande,24
33,7.8,7/10/18,Good,Medford,24
13,3.1,7/10/18,Good,Portland,24
33,7.9,7/9/18,Good,Bend,24
37,9,7/9/18,Good,La Grande,24
34,8.2,7/9/18,Good,Medford,24
24,5.9,7/9/18,Good,Portland,24
36,8.7,7/8/18,Good,Bend,24
39,9.2,7/8/18,Good,La Grande,24
